Breed Name,Temperament,AKC Breed Popularity,Height,Weight,Life Expectancy,Group
Affenpinscher,"Confident, Famously Funny, Fearless",Ranks 149 of 192,9-11.5 inches,7-10 pounds,12-15 years,Toy Group
Afghan Hound,"Independent, Sweet",Ranks 113 of 192,25-27 inches,50-60 pounds,12-18 years,Hound Group
Airedale Terrier,"Friendly, Clever, Courageous",Ranks 55 of 192,23 inches,50-70 pounds,11-14 years,Terrier Group
Akita,"Courageous, Dignified, Profoundly Loyal",Ranks 46 of 192,"26-28 inches (male), 24-26 inches (female)","100-130 pounds (male), 70-100 pounds (female)",10-13 years,Working Group
Alaskan Malamute,"Affectionate, Loyal, Playful",Ranks 59 of 192,"25 inches (male), 23 inches (female)","85 pounds (male), 75 pounds (female)",10-14 years,Working Group
American English Coonhound,"Sweet, Mellow, Sociable",Ranks 170 of 192,"24-26 inches (male), 23-25 inches (female)",45-65 pounds,11-12 years,Hound Group
American Eskimo Dog,"Playful, Perky, Smart",Ranks 122 of 192,"9-12 inches (toy), 12-15 inches (miniature), 15-19 inches (Standard)","6-10 pounds (toy), 10-20 pounds (miniature), 25-35 pounds (standard)",13-15 years,Non-Sporting Group
American Foxhound,"Independent, Easy-Going, Sweet-Tempered",Ranks 189 of 192,"22-25 inches (male), 21-24 inches (female)","65-70 pounds (male), 60-65 pounds (female)",11-13 years,Hound Group
American Hairless Terrier,"Energetic, Alert, Curious",Ranks 106 of 192,12-16 inches,12-16 pounds,14-16 years,Terrier Group
American Leopard Hound,"Sociable, Energetic, Intelligent",,21-27 inches,45-70 pounds,12-15 years,Foundation Stock Service
American Staffordshire Terrier,"Confident, Smart, Good-Natured",Ranks 81 of 192,"18-19 inches (male), 17-18 inches (female)","55-70 pounds (male), 40-55 pounds (female)",12-16 years,Terrier Group
American Water Spaniel,"Eager, Happy, Charming",Ranks 156 of 192,15-18 inches,"30-45 pounds (male), 25-40 pounds (female)",10-14 years,Sporting Group
Anatolian Shepherd Dog,"Loyal, Independent, Reserved",Ranks 84 of 192,"29 inches (male), 27 inches (female)","110-150 pounds (male), 80-120 pounds (female)",11-13 years,Working Group
Appenzeller Sennenhund,"Playful, Charming, Inquisitive",Ranks 49 of 192,"28-30 inches (males), 26-28 inches (female)","140-180 pounds (male), 120-140 pounds (female)",8-10 years,Working Group
Australian Cattle Dog,"Alert, Curious, Pleasant",Ranks 54 of 192,"18-20 inches (male), 17-19 inches (female)",35-50 pounds,12-16 years,Herding Group
Australian Kelpie,"Loyal, Alert, Intelligent",-,17-20 inches,-,10-13 years,Foundation Stock Service
Australian Shepherd,"Smart, Work-Oriented, Exuberant",Ranks 16 of 192,"20-23 inches (male), 18-21 inches (female)","50-65 pounds (male), 40-55 pounds (female)",12-15 years,Herding Group
Australian Stumpy Tail Cattle Dog,"Agile, Intelligent, Self-Confident",Ranks 7 of 192,No more than 10 inches,4-6 pounds,10-18 years,Toy Group
Australian Terrier,"Affectionate, Courageous, Spirited",Ranks 136 of 192,10-11 inches,15-20 pounds,11-15 years,Terrier Group
Azawakh,"Loyal, Independent, Deeply Affectionate",-,"25-29 inches (male), 23.5-27.5 inches (female)","44-55 pounds (male), 33-44 pounds (female)",12-15 years,Miscellaneous Class
Barbet,"Friendly, Bright, Sweet-Natured",-,19-24.5 inches,35-65 pounds,12-14 years,Miscellaneous Class
Basenji,"Independent, Smart, Poised",Ranks 88 of 192,"17 inches (male), 16 inches (female)","24 pounds (male), 22 pounds (female)",13-14 years,Hound Group
Basset Fauve de Bretagne,"Smart, Cheerful, Determined",-,12.5-15.5 inches,27-35 pounds,12+ years,Foundation Stock Service
Basset Hound,"Charming, Patient, Low-Key",Ranks 39 of 192,up to 15 inches,40-65 pounds,12-13 years,Hound Group
Bavarian Mountain Scent Hound,"Loyal, Versatile, Reserved with Strangers",-,17-20.5 inches,37-66 pounds,12-15 years,Foundation Stock Service
Beagle,"Friendly, Curious, Merry",Ranks 5 of 192,"13 inches & under, 13-15 inches","under 20 pounds (13 inches & under), 20-30 pounds (13-15 inches)",10-15 years,Hound Group
Bearded Collie,"Smart, Bouncy, Charismatic",Ranks 126 of 192,"21-22 inches (male), 20-21 inches (female)",45-55 pounds,12-14 years,Herding Group
Beauceron,"Gentle, Faithful, Obedient",Ranks 140 of 192,"25.5-27.5 inches (male), 24-26.5 inches (female)",70-110 pounds,10-12 years,Herding Group
Bedlington Terrier,"Loyal, Charming, Frollicking",Ranks 138 of 192,15-17.5 inches,17-23 pounds,11-16 years,Terrier Group
Belgian Laekenois,"Affectionate, Alert, Intelligent",-,"24-26 inches (male), 22-24 inches (female)",55-65 pounds,10-12 years,Miscellaneous Class
Belgian Malinois,"Confident, Smart, Hardworking",Ranks 47 of 192,"24-26 inches (male), 22-24 inches (female)","60-80 pounds (male), 40-60 pounds (female)",14-16 years,Herding Group
Belgian Sheepdog,"Bright, Watchful, Serious-Minded",Ranks 129 of 192,"24-26 inches (male), 22-24 inches (female)","55-75 pounds (male), 45-60 pounds (female)",12-14 years,Herding Group
Belgian Tervuren,"Courageous, Alert, Intelligent",Ranks 107 of 192,"24-26 inches (male), 22-24 inches (female)","55-75 pounds (male), 45-60 pounds (female)",12-14 years,Herding Group
Bergamasco Sheepdog,"Independent, Sociable, Intelligent",Ranks 184 of 192,"23.5 inches (male), 22 inches (female)","70-84 pounds (male), 57-71 pounds (female)",13-15 years,Herding Group
Berger Picard,"Loyal, Good-Natured, Observant",Ranks 141 of 192,"23.5-25.5 inches (male), 21.5-23.5 inches (female)",50-70 pounds,12-13 years,Herding Group
Bernese Mountain Dog,"Good-Natured, Calm, Strong",Ranks 27 of 192,"25-27.5 inches (male), 23-26 inches (female)","80-115 pounds (male), 70-95 pounds (female)",7-10 years,Working Group
Bichon Frise,"Playful, Curious, Peppy",Ranks 45 of 192,9.5-11.5 inches,12-18 pounds,14-15 years,Non-Sporting Group
Biewer Terrier,"Intelligent, Devoted, Amusing",-,7-11 inches,4-8 pounds,16 years,Foundation Stock Service
Black and Tan Coonhound,"Easy-Going, Bright, Brave",Ranks 128 of 192,"25-27 inches (male), 23-25 inches (female)",65-110 pounds,10-12 years,Hound Group
Black Russian Terrier,"Intelligent, Calm, Powerful",Ranks 119 of 192,"27-30 inches (male), 26-29 inches (female)",80-130 pounds,10-12 years,Working Group
Bloodhound,"Friendly, Independent, Inquisitive",Ranks 52 of 192,"25-27 inches (male), 23-25 inches (female)","90-110 pounds (male), 80-100 pounds (female)",10-12 years,Hound Group
Bluetick Coonhound,"Smart, Devoted, Tenacious",Ranks 121 of 192,"22-27 inches (male), 21-25 inches (female)","55-80 pounds (male), 45-65 pounds (female)",11-12 years,Hound Group
Boerboel,"Confident, Intelligent, Calm",Ranks 131 of 192,"24-27 inches (male), 22-25 inches (female)",150-200 pounds,9-11 years,Working Group
Bolognese,"Playful, Easy-Going, Devoted",-,10-12 inches,5.5-9 pounds,12-14 years,Foundation Stock Service
Border Collie,"Affectionate, Smart, Energetic",Ranks 38 of 192,"19-22 inches (male), 18-21 inches (female)",30-55 pounds,12-15 years,Herding Group
Border Terrier,"Affectionate, Happy, Plucky",Ranks 86 of 192,12-15 inches,"13-15.5 pounds (male), 11.5-14 pounds (female)",12-15 years,Terrier Group
Borzoi,"Affectionate, Loyal, Regally Dignified",Ranks 98 of 192,"28 inches & up (male), 26 inches & up (female)","75-105 pounds (male), 60-85 pounds (female)",9-14 years,Hound Group
Boston Terrier,"Friendly, Bright, Amusing",Ranks 21 of 192,15-17 inches,12-25 pounds,11-13 years,Non-Sporting Group
Bouvier des Flandres,"Affectionate, Courageous, Strong-Willed",Ranks 83 of 192,"24.5-27.5 inches (male), 23.5-26.5 inches (female)",70-110 pounds,10-12 years,Herding Group
Boxer,"Bright, Fun-Loving, Active",Ranks 10 of 192,"23-25 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), females are about 15 pounds less than male",10-12 years,Working Group
Boykin Spaniel,"Friendly, Eager, Lovable",Ranks 110 of 192,"15.5-18 inches (male), 14-16.5 inches (female)","30-40 pounds (male), 25-35 pounds (female)",10-15 years,Sporting Group
Bracco Italiano,"Affectionate, Intelligent, Enthusiastic",-,21-27 inches,55-90 pounds,10-14 years,Foundation Stock Service
Braque du Bourbonnais,"Affectionate, Adaptable, Gentle",-,19-22.5 inches,35-53 pounds,10-12 years,Foundation Stock Service
Braque Francais Pyrenean,"Friendly, Smart, Willing to Please",-,18.5-23 inches,40-55 pounds,-,Foundation Stock Service
Briard,"Confident, Smart, Faithful",Ranks 132 of 192,"23-27 inches (male), 22-25.5 inches (female)",55-100 pounds,12 years,Herding Group
Brittany,"Bright, Fun-Loving, Upbeat",Ranks 25 of 192,17.5-20.5 inches,30-40 pounds,12-14 years,Sporting Group
Broholmer,"Friendly, Watchful, Loving",-,27.5-29.5 inches,90-150 pounds,8-10 years,Foundation Stock Service
Brussels Griffon,"Loyal, Alert, Curious",Ranks 97 of 192,7-10 inches,8-10 pounds,12-15 years,Toy Group
Bull Terrier,"Playful, Charming, Mischievous",Ranks 57 of 192,21-22 inches,50-70 pounds,12-13 years,Terrier Group
Bulldog,"Friendly, Courageous, Calm",Ranks 4 of 192,14-15 inches,"50 pounds (male), 40 pounds (female)",8-10 years,Non-Sporting Group
Bullmastiff,"Affectionate, Loyal, Brave",Ranks 48 of 192,"25-27 inches (male), 24-26 inches (female)","110-130 pounds (male), 100-120 pounds (female)",7-9 years,Working Group
Cairn Terrier,"Alert, Cheerful, Busy",Ranks 70 of 192,"10 inches (male), 9.5 inches (female)","14 pounds (male), 13 pounds (female)",13-15 years,Terrier Group
Canaan Dog,"Confident, Alert, Vigilant",Ranks 181 of 192,"20-24 inches (male), 19-23 inches (female)","45-55 pounds (male), 35-45 pounds (female)",12-15 years,Herding Group
Cane Corso,"Affectionate, Intelligent, Majestic",Ranks 40 of 192,"25-27.5 inches (male), 23.5-26 inches (female)",Proportionate to height,9-12 years,Working Group
Cardigan Welsh Corgi,"Affectionate, Loyal, Smart",Ranks 69 of 192,10.5-12.5 inches,"30-38 pounds (male), 25-34 pounds (female)",12-15 years,Herding Group
Carolina Dog,"Loyal, Independent, Reserved with Strangers",-,17.75-19.5 inches,30-55 pounds,-,Foundation Stock Service
Catahoula Leopard Dog,"Loyal, Independent, Watchful",-,22-24 inches,50-95 pounds,10-14 years,Foundation Stock Service
Caucasian Shepherd Dog,"Fearless, Bold, Kind",-,23-30 inches,99-170 pounds,10-12 years,Foundation Stock Service
Cavalier King Charles Spaniel,"Affectionate, Gentle, Graceful",Ranks 19 of 192,12-13 inches,13-18 pounds,12-15 years,Toy Group
Central Asian Shepherd Dog,"Independent, Courageous, Self-Confident",-,Minimum: 25.5-27.5 inches,Minimum: 88-110 pounds,-,Foundation Stock Service
Cesky Terrier,"Clever, Adventurous, Family-Oriented",Ranks 182 of 192,10-13 inches,14-24 pounds,12-15 years,Terrier Group
Chesapeake Bay Retriever,"Affectionate, Bright, Sensitive",Ranks 43 of 192,"23-26 inches (male), 21-24 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10-13 years,Sporting Group
Chihuahua,"Charming, Graceful, Sassy",Ranks 30 of 192,5-8 inches,not exceeding 6 pounds,14-16 years,Toy Group
Chinese Crested,"Affectionate, Alert, Lively",Ranks 77 of 192,11-13 inches,8-12 pounds,13-18 years,Toy Group
Chinese Shar-Pei,"Loyal, Independent, Calm",Ranks 61 of 192,18-20 inches,45-60 pounds,8-12 years,Non-Sporting Group
Chinook,"Smart, Patient, Devoted",Ranks 175 of 192,"24-26 inches (male), 22-24 inches (female)","55-90 pounds (male), 50-65 pounds (female)",12-15 years,Working Group
Chow Chow,"Dignified, Bright, Serious-Minded",Ranks 74 of 192,17-20 inches,45-70 pounds,8-12 years,Non-Sporting Group
Cirneco dell?™Etna,"Active, Proud, Very Smart",Ranks 7 of 192,"10-15 inches (miniature), over 15 inches (standard)","10-15 pounds (miniature), 60-70 pounds (male standard), 40-50 pounds (female standard)",10-18 years,Non-Sporting Group
Clumber Spaniel,"Mellow, Amusing, Gentlemanly",Ranks 144 of 192,"18-20 inches (male), 17-19 inches (female)","70-85 pounds (male), 55-70 pounds (female)",10-12 years,Sporting Group
Cocker Spaniel,"Gentle, Smart, Happy",Ranks 29 of 192,"14.5-15.5 inches (male), 13.5-14.5 inches (female)","25-30 pounds (male), 20-25 pounds (female)",10-14 years,Sporting Group
Collie,"Devoted, Graceful, Proud",Ranks 37 of 192,"24-26 inches (male), 22-24 inches (female)","60-75 pounds (male), 50-65 pounds (female)",12-14 years,Herding Group
Coton de Tulear,"Charming, Bright, Happy-Go-Lucky",Ranks 80 of 192,"10-11 inches (male), 9-10 inches (female)","9-15 pounds (male), 8-13 pounds (female)",15-19 years,Non-Sporting Group
Croatian Sheepdog,"Loyal, Active, Alert and Intelligent",-,16-20 inches,29-44 pounds,13-14 years,Foundation Stock Service
Curly-Coated Retriever,"Confident, Proud, Wickedly Smart",Ranks 164 of 192,"25-27 inches (male), 23-25 inches (female)",60-95 pounds,10-12 years,Sporting Group
Czechoslovakian Vlcak,"Loyal, Intelligent, Active",-,Minimum: 23.5-25.5 inches,Minimum: 44-57 pounds,10-15 years,Foundation Stock Service
Dachshund,"Friendly, Curious, Spunky",Ranks 13 of 192,"8-9 inches (standard), 5-6 inches (miniature)","16-32 pounds (standard), 11 pounds & under (miniature)",12-16 years,Hound Group
Dalmatian,"Dignified, Smart, Outgoing",Ranks 62 of 192,19-24 inches,45-70 pounds,11-13 years,Non-Sporting Group
Dandie Dinmont Terrier,"Independent, Smart, Proud",Ranks 167 of 192,8-11 inches,18-24 pounds,12-15 years,Terrier Group
Danish-Swedish Farmdog,"Energetic, Trainable, Attentive",-,12.5-14.5 inches,15-20 pounds,11-13 years,Foundation Stock Service
Deutscher Wachtelhund,"Friendly, Versatile, Determined",-,18-21 inches,40-55 pounds,-,Foundation Stock Service
Doberman Pinscher,"Loyal, Fearless, Alert",Ranks 15 of 192,"26-28 inches (male), 24-26 inches (female)","75-100 pounds (male), 60-90 pounds (female)",10-12 years,Working Group
Dogo Argentino,"Friendly, Cheerful, Humble",-,"24-27 inches (male), 23.5-26 inches (female)",80-100 pounds,9-15 years,Miscellaneous Class
Dogue de Bordeaux,"Affectionate, Loyal, Courageous",Ranks 63 of 192,"23.27 inches (male), 23-26 inches (female)","110 pounds & up (male), 99 pounds & up (female)",5-8 years,Working Group
Drentsche Patrijshond,"Loyal, Intelligent, Sensitive",-,21-25 inches,48-73 pounds,11??4 years,Foundation Stock Service
Drever,"Loyal, Even-Tempered, Determined",-,12-15 inches,35-40 pounds,~15 years,Foundation Stock Service
Dutch Shepherd,"Intelligent, Lively, Athletic",-,21.5-24.5 inches,42-75 pounds,11-14 years,Miscellaneous Class
English Cocker Spaniel,"Energetic, Merry, Responsive",Ranks 56 of 192,"16-17 inches (male), 15-16 inches (female)","28-34 pounds (male), 26-32 pounds (female)",12-14 years,Sporting Group
English Foxhound,"Affectionate, Gentle, Sociable",Ranks 187 of 192,24 inches,60-75 pounds,10-13 years,Hound Group
English Setter,"Friendly, Mellow, Merry",Ranks 102 of 192,"25-27 inches (male), 23-25 inches (female)","65-80 pounds (male), 45-55 pounds (female)",12 years,Sporting Group
English Springer Spaniel,"Friendly, Playful, Obedient",Ranks 26 of 192,"20 inches (male), 19 inches (female)","50 pounds (male), 40 pounds (female)",12-14 years,Sporting Group
English Toy Spaniel,"Gentle, Playful, Intelligent",Ranks 130 of 192,9-10 inches,8-14 pounds,10-12 years,Toy Group
Entlebucher Mountain Dog,"Loyal, Smart, Enthusiastic",Ranks 161 of 192,"17-21 inches (male), 16-20 inches (female)","50-65 pounds (male), 40-55 pounds (female)",11-13 years,Herding Group
Estrela Mountain Dog,"Alert, Intelligent, Brave",-,24.5-29 inches,77-132 pounds,10-14 years,Foundation Stock Service
Eurasier,"Confident, Calm, Family-Oriented",-,19-24 inches,40-70 pounds,12-16 years,Foundation Stock Service
Field Spaniel,"Sweet, Fun-Loving, Sensitive",Ranks 147 of 192,"18 inches (male), 17 inches (female)",35-50 pounds,12-13 years,Sporting Group
Finnish Lapphund,"Friendly, Alert, Agile",Ranks 173 of 192,"18-21 inches (male), 16-19 inches (female)",33-53 pounds,12-15 years,Herding Group
Finnish Spitz,"Friendly, Good-Natured, Lively",Ranks 179 of 192,"17.5-20 inches (male), 15.5-18 inches (female)","25-33 pounds (male), 20-28 pounds (female)",13-15 years,Non-Sporting Group
Flat-Coated Retriever,"Cheerful, Optimistic, Good-Humored",Ranks 89 of 192,"23-24.5 inches (male), 22-23.5 inches (female)",60-70 pounds,8-10 years,Sporting Group
French Bulldog,"Adaptable, Playful, Smart",Ranks 6 of 192,11-13 inches,under 28 pounds,10-12 years,Non-Sporting Group
French Spaniel,"Gentle, Sociable, Intelligent",-,21.5-24 inches,50-60 pounds,10-12 years,Foundation Stock Service
German Longhaired Pointer,"Versatile, Calm, Family-Oriented",-,22-28 inches,55-80 pounds,12-14 years,Foundation Stock Service
German Pinscher,"Courageous, Intelligent, Vivacious",Ranks 146 of 192,17-20 inches,25-45 pounds,12-14 years,Working Group
German Shepherd Dog,"Confident, Courageous, Smart",Ranks 2 of 192,"24-26 inches (male), 22-24 inches (female)","65-90 pounds (male), 50-70 pounds (female)",7-10 years,Herding Group
German Shorthaired Pointer,"Friendly, Smart, Willing to Please",Ranks 11 of 192,"23-25 inches (male), 21-23 inches (female)","55-70 pounds (male), 45-60 pounds (female)",10-12 years,Sporting Group
German Spitz,"Devoted, Lively, Attentive",-,12-15 inches,24-26 pounds,13-15 years,Foundation Stock Service
German Wirehaired Pointer,"Affectionate, Eager, Enthusiastic",Ranks 64 of 192,"24-26 inches (male), minimum 22 inches (female)",50-70 pounds,14-16 years,Sporting Group
Giant Schnauzer,"Loyal, Alert, Trainable",Ranks 79 of 192,"25.5-27.5 inches (male), 23.5-25.5 inches (female)","60-85 pounds (male), 55-75 pounds (female)",12-15 years,Working Group
Glen of Imaal Terrier,"Gentle, Spirited, Bold",Ranks 180 of 192,12.5-14 inches,32-40 pounds,10-15 years,Terrier Group
Golden Retriever,"Friendly, Intelligent, Devoted",Ranks 3 of 192,"23-24 inches (male), 21.5-22.5 inches (female)","65-75 pounds (male), 55-65 pounds (female)",10-12 years,Sporting Group
Gordon Setter,"Affectionate, Confident, Bold",Ranks 104 of 192,"24-27 inches (male), 23-26 inches (female)","55-80 pounds (male), 45-70 pounds (female)",12-13 years,Sporting Group
Grand Basset Griffon VendÃ©en,"Alert, Happy, Vivacious",Ranks 148 of 192,13-15 inches,25-40 pounds,14-16 years,Hound Group
Great Dane,"Friendly, Patient, Dependable",Ranks 14 of 192,"30-32 inches (male), 28-30 inches (female)","140-175 pounds (male), 110-140 pounds (female)",7-10 years,Working Group
Great Pyrenees,"Smart, Patient, Calm",Ranks 67 of 192,"27-32 inches (male), 25-29 inches (female)","100 pounds & up (male), 85 pounds & up (female)",10-12 years,Working Group
Greater Swiss Mountain Dog,"Faithful, Family-Oriented, Dependable",Ranks 78 of 192,"25.5-28.5 inches (male), 23.7-27 inches (female)","115-140 pounds (male), 85-110 pounds (female)",8-11 years,Working Group
Greyhound,"Gentle, Independent, Noble",Ranks 151 of 192,"28-30 inches (male), 27-28 inches (female)","65-70 pounds (male), 60-65 pounds (female)",10-13 years,Hound Group
Hamiltonstovare,"Agile, Versatile, Regal",-,19-24 inches,40-75 pounds,14-17 years,Foundation Stock Service
Hanoverian Scenthound,"Loyal, Independent, Calm",-,19-21 inches,79-99 pounds,10-14 years,Foundation Stock Service
Harrier,"Friendly, Outgoing, People-Oriented",Ranks 186 of 192,19-21 inches,45-60 pounds,12-15 years,Hound Group
Havanese,"Intelligent, Outgoing, Funny",Ranks 23 of 192,8.5-11.5 inches,7-13 pounds,14-16 years,Toy Group
Hokkaido,"Dignified, Alert, Devoted",-,18-20 inches,44-66 pounds,12-15 years,Foundation Stock Service
Hovawart,"Alert, Faithful, Intelligent",-,23-28 inches,65-90 pounds,10-14 years,Foundation Stock Service
Ibizan Hound,"Family-Oriented, Even-Tempered, Polite",Ranks 152 of 192,"23.5-27.5 inches (male), 22.5-26 inches (female)","50 pounds (male), 45 pounds (female)",11-14 years,Hound Group
Icelandic Sheepdog,"Friendly, Playful, Inquisitive",Ranks 153 of 192,"18 inches (male), 16.5 inches (female)","30 pounds (male), 25 pounds (female)",12-14 years,Herding Group
